Cu_1,Pt_1,Sn_1,Zn_1,Cu_2,Pt_2,Sn_2,Zn_2,Cu_3,Pt_3,Sn_3,Zn_3,Eads
0,2,0,0,1,0,1,0,0,1,0,0,-0.36054
0,2,0,0,2,0,0,0,0,0,0,1,-0.44297
0,2,0,0,0,0,2,0,0,1,0,0,-0.43307
0,2,0,0,0,1,1,0,1,0,0,0,-0.35965
1,1,0,0,0,2,0,0,1,0,0,0,-0.45467
1,1,0,0,0,2,0,0,0,1,0,0,-0.45952
1,1,0,0,0,0,2,0,0,1,0,0,-0.34644
1,1,0,0,0,1,1,0,0,1,0,0,-0.40169
0,1,1,0,0,1,0,1,0,0,0,1,-0.52894
0,1,1,0,1,0,0,1,0,0,0,1,-0.51943
0,1,1,0,0,2,0,0,0,0,0,1,-0.52572
0,1,1,0,2,0,0,0,0,0,0,1,-0.51585
0,1,0,1,0,0,0,2,0,1,0,0,-0.54456
0,1,0,1,0,0,1,1,0,0,1,0,-0.55834
0,1,0,1,0,0,1,1,1,0,0,0,-0.39065
0,1,0,1,1,0,0,1,0,1,0,0,-0.56163
2,0,0,0,0,0,1,1,0,1,0,0,-0.28853
2,0,0,0,0,2,0,0,0,0,1,0,-0.35587
2,0,0,0,0,2,0,0,0,0,0,1,-0.37127
2,0,0,0,2,0,0,0,0,0,0,1,-0.35542
1,0,1,0,1,0,0,1,0,1,0,0,-0.36741
1,0,1,0,1,0,0,1,0,0,0,1,-0.3925
1,0,1,0,0,2,0,0,0,1,0,0,-0.42731
1,0,1,0,0,2,0,0,0,0,1,0,-0.42151
1,0,0,1,1,0,1,0,0,0,1,0,-0.37407
1,0,0,1,1,1,0,0,0,0,0,1,-0.45714
1,0,0,1,1,0,1,0,0,0,0,1,-0.31691
1,0,0,1,0,0,2,0,1,0,0,0,-0.28612
0,0,2,0,2,0,0,0,0,0,0,1,-0.17033
0,0,2,0,1,0,1,0,0,0,1,0,-0.17606
0,0,2,0,0,0,2,0,0,1,0,0,-0.18746
0,0,2,0,1,1,0,0,1,0,0,0,-0.16536
0,0,1,1,1,0,1,0,0,0,1,0,-0.12917
0,0,1,1,2,0,0,0,0,0,1,0,-0.10037
0,0,1,1,0,1,0,1,0,0,0,1,-0.09467
0,0,1,1,1,0,0,1,0,1,0,0,-0.1061
0,0,0,2,0,0,2,0,1,0,0,0,-0.2498
0,0,0,2,0,0,2,0,0,1,0,0,-0.25116
0,0,0,2,0,1,1,0,0,1,0,0,-0.27533
0,0,0,2,1,0,1,0,0,1,0,0,-0.25091
